Item ,Price
Pinar Labneh Mini Portion -  180G,SAR 7.25
President Shredded Mozzarella Cheese -  900G,SAR 19.95SAR 42.50
Pride Shredded Mozzarella -  1Kg,SAR 33.95
Puck Labneh Turkish Recipe -  400G,SAR 11.55
Fossen Smoked Salmon Scottish -  100G,SAR 34.95
Almarai Cream Cheese - 432G,SAR 12.00
Tamimi Large Arabic Brown Bread - 4 pieces,SAR 1.00
Onions Red Local - 250 g,SAR 0.90
Almarai Cheese Slices Burger - 200G,SAR 6.50
Almarai Fresh Low Fat Milk - 1L,SAR 4.50
Almarai Fresh Full Fat Milk - 500Ml,SAR 3.00
Almarai Feta Cheese Low Fat & Less Salt - 200G,SAR 5.85
Almarai Feta Cheese Full Cream - 200G,SAR 5.25
Stuhrk Black Lumpfish Caviar -  50G,SAR 18.40
Stuhrk Red Lumpfish Caviar -  50G,SAR 18.40
Ulker Turkish Labneh - 8 x 20 grams,SAR 7.30
Philadelphia Regular Cream Cheese Spread - 180G,SAR 10.95
Kraft Original Cheddar Cheese Spread Squeeze - 2X870G,SAR 38.95SAR 41.95
Lurpak Unsalted Butter - 100G,SAR 3.95SAR 4.95
Philadelphia Light Cream Cheese Spread - 180G,SAR 13.95
Kraft Cheddar Cheese - 7+1Free X50G,SAR 21.95SAR 23.50
Puck Cream Cheese Spread - 500G,SAR 15.70
The Three Cows Shredded Mozzarella Cheese - 200G,SAR 9.95
Puck Shredded Mozzarella Cheese Modified With Vegetable Oil - 250G,SAR 9.95
Ulker Turkish Labneh - 180G,SAR 6.55
Almarai Full Fat Cooking Cream - 250ML,SAR 7.00
Almarai Fresh Yoghurt Full Cream 2kg - 500G,SAR 3.15
Almarai Mozzarella Cheese 100 Grams Free - 200g,SAR 9.40
Almarai Premium Labneh Full Fat Turkish Style - 400G,SAR 11.55
Almarai Unsalted Natural Butter - 100G,SAR 5.25
Almarai Processed Cream Cheese - 2x900G,SAR 35.25SAR 42.00
Almarai Halloumi Full Fat Cheese - 225G,SAR 13.95
Kiri Spreadable Creamy Cheese - 24Pcs,SAR 14.95SAR 16.50
Almarai Whipping Cream - 500Ml,SAR 14.00
Almarai Fresh Labneh Full Fat -  200G,SAR 5.00
Almarai Cheddar Cheese Slices -  200G,SAR 7.35
Badr Low Fat Labneh - 250 g,SAR 5.75
Halwani Brothers Smoked Roast Turkey - 1.0 kg,SAR 98.95SAR 114.95
Hungarian Double Cream Cheese - 250 g,SAR 5.00
Sunbula Shredded Mozzarella Cheese -  500G,SAR 23.05
Frico Edam Cheese - 250 g,SAR 13.50
Lebanese Makdous - 250 g,SAR 8.50
Acorsa Black Spanish Olive - 250 g,SAR 5.75
Stuhrk Wild Salmon Caviar -  50G,SAR 47.20
Pride Classic Cheddar - 500G,SAR 19.45
Forsana Shredded Cheddar Cheese - 200G,SAR 11.25
Fresh Cat Fish - 500 g,SAR 2.48SAR 3.75
Fresh Sea Bass - 500 g,SAR 25.50
Fresh Hamour Bagal - 1.0 kg,SAR 26.95SAR 35.95
Americana Pepperoni - 1.0 kg,SAR 59.95SAR 79.95
Mushrooms - 250 grams,SAR 8.95
Medium Fresh Andak Fish - 500 g,SAR 13.50
Eggplant Big - 250 g,SAR 1.50
Green Onions - 1 count,SAR 1.95
Okra - 250 g,SAR 7.00
Altayeb Less Salt White Cheese - 250 g,SAR 9.18
Mandarine - 250 g,SAR 1.75
Pakistani Mandarin - 250 g,SAR 2.00
Bell Pepper Yellow - 500 g,SAR 3.45SAR 8.95
Pinar Labneh - 250 g,SAR 6.75
Avocado Kenya - 250 g,SAR 6.25
Bridel Brie Cheese 20% Fat - 250 g,SAR 44.75
Kasih Liquid Jameed -  1Kg,SAR 37.95
Green Moroccan Olive With Lemon - 250 g,SAR 5.50
Ulker Labneh - 250 g,SAR 7.00
Ulker Light Turkish Labneh - 275G,SAR 9.40
Halwani Brothers Mortadella Beef Plain - 1.0 kg,SAR 27.95SAR 38.95
Hajdu Kashkawane Cow Cheese - 250 g,SAR 12.60
Americana Smoked Turkey Breast - 250 g,SAR 25.00
Green Pepper - 250 g,SAR 2.25
Red Bell Pepper - 500 g,SAR 3.45SAR 5.95
Celery  Stick - 250 g,SAR 2.25
Tomato - 250 g,SAR 2.00
Orange Valencia - 250 g,SAR 1.50
Red Cabbage - 1.0 kg,SAR 7.95
Green Cabbage - 250 g,SAR 0.75
Lemon Large - 250 g,SAR 2.25
Romaine Lettuce - 1.0 kg,SAR 7.95
Beet Root - 250 g,SAR 1.00
Green Beans - 250 g,SAR 4.25
Orange Navel - 250 g,SAR 2.25
Sweet Potato - 250 g,SAR 2.25
Halwani Brothers Chicken Mortedella Plain - 250 g,SAR 12.00
Almarai Fresh Cream - 100G,SAR 3.25
Valbreso French Soft Sheep's Milk Cheese - 600G,SAR 41.95
Astra Halloumi Cheese - 250 g,SAR 11.00
Green Moroccan Olive With Chili - 250 g,SAR 5.50
Astra Sheep Milk Soft Labneh - 250 g,SAR 7.87
Coopoliva Black Olives - 250 g,SAR 5.50
Brazilian Chilled Beef Tenderloin - 500 g,SAR 37.50
Gran Moravia Parmesan Cheese - 250 g,SAR 27.50
Almarai Fresh Pure Cow's Milk 0.1% Fat - 2L,SAR 8.00
Puck Labneh Turkish Recipe - 650G,SAR 19.95
Valbreso Sheep's Milk Feta Cheese - 250 g,SAR 14.75
Red Grapes - 250 g,SAR 4.50
Apple Gala - 1.0 kg,SAR 5.95SAR 7.95
Guava - 250 g,SAR 5.50
Sweet Melon Fresh - 2.0 kg,SAR 5.90SAR 9.90
Nectarines - 250 g,SAR 5.50
Bananas - 250 g,SAR 1.50
Apple Fuji - 250 g,SAR 1.50
Plums Red - 500 g,SAR 4.45SAR 8.95
Cucumber Green - 250 g,SAR 1.25
Garlic - 250 g,SAR 3.25
Ginger Root - 250 g,SAR 3.00
Hot Chili Green - 250 g,SAR 2.25
Yellow Squash - 250 g,SAR 1.25
Potatoes - 250 g,SAR 0.75
Squash Butternut - 500 g,SAR 3.50
Fresh Mackerel (Bagha) - 500 g,SAR 6.98SAR 8.25
Squash Zuccini - 250 g,SAR 2.00
Fresh Crabs - 500 g,SAR 17.00
Medium Fresh Hamam - 500 g,SAR 15.00
Fresh Clams - 500 g,SAR 12.75
Fresh Kanaad Dammam - 500 g,SAR 42.75
Small Fresh Hamour - 500 g,SAR 25.75
Fresh Sardine - 500 g,SAR 5.25
Fresh Squid - 500 g,SAR 12.75
Fresh Tuna - 500 g,SAR 8.25
Jinnis Fish - 500 g,SAR 10.95
Fresh Hamour - 500 g,SAR 26.25
Hamour Fillet - 1.0 kg,SAR 74.95SAR 89.95
Sliced Kanaad - 1.0 kg,SAR 69.95SAR 89.95
Live Tilapia - 500 g,SAR 11.95
Sole Fillet - 500 g,SAR 40.00
Naisarah Fish - 500 g,SAR 9.05
Najil Fish - 500 g,SAR 26.25
Saudi Pan gulf Large Peeled Shrimp - 500 g,SAR 30.00
Norwegian Whole Salmon large approx. 6 kg each - 6.0 kg,SAR 377.70
Medium Red Snapper - 500 g,SAR 28.60
Medium Peeled Shrimp - 500 g,SAR 37.50
Sheiry Fillet - 500 g,SAR 47.50
Sarrar Fish - 1.5 kg,SAR 29.92SAR 38.25
Salmon Steak - 500 g,SAR 40.00
Medium Sheiry Fish - 500 g,SAR 22.00
Large Sheiry Fish - 500 g,SAR 22.00
Small Sheiry Fish - 500 g,SAR 8.25
Medium Shrimp - 500 g,SAR 23.00
Large Shrimp - 500 g,SAR 25.50
Badr White Low-Fat Cheese With Black Cumin - 250 g,SAR 7.50
Siniora Smoked Turkey Breast - 250 g,SAR 19.25
Elle & Vire Special Cooking Cream - 1L,SAR 29.95
White Grapes - 250 g,SAR 3.75
Broccoli - 500 g,SAR 11.45
Kalamata Olive - 250 g,SAR 7.48
Large Najil Jeddah - 500 g,SAR 63.00
Cooked Shrimp - 500 g,SAR 17.50
Safi Omani Fish - 500 g,SAR 12.75
Medium Najil Fish Jeddah - 500 g,SAR 66.95
Halwani bros Plain Halawa - 250 g,SAR 4.68
Medium Farmed Shrimp - 500 g,SAR 18.50
Lamb Kofta Kebab - 500 g,SAR 18.40
Fresh Veal Without Bones - 500 g,SAR 35.00
Sole Fish - 500 g,SAR 14.25
Eygptian Roumy Cheese - 500 g,SAR 22.50
Brown Mushrooms Big -  250G,SAR 14.95
Tamimi Markets  Pomelos - 500 g,SAR 4.45
Papaya Yellow - 1.0 kg,SAR 10.95
Danjou Pears - 250 g,SAR 3.25
Almarai Cheddar Cheese Low Fat -  454G,SAR 17.85
Kiwi - 250 g,SAR 3.25
Limes Big - 250 g,SAR 2.75
Kini Mango - 250 g,SAR 5.00
Tangerine Fresh - 250 g,SAR 2.50
Indian Green Hot Chili - 250 g,SAR 5.00
Avocado Imported - 250 g,SAR 10.00
American Asparagus - 250 g,SAR 18.35
Grapes White Imported - 250 g,SAR 6.25
Custard Apple Imported - 500 g,SAR 35.00
Almarai Cheese Slices 98.5% Fat Free - 200G,SAR 9.95
Naimi Fresh Quarter Lamb With Shoulder - 1.0 kg,SAR 72.50
French Emmental Cheese - 250 g,SAR 16.25
Frico Red Hot Edam Cheese Slices -  150G,SAR 11.95
Nadec Shredded Mozzarella Cheese -  500G,SAR 25.95
The Three Cows Feta Cheese - 250 g,SAR 3.50
Naimi Quarter Fresh Lamb Leg - 500 g,SAR 36.75
Naimi Fresh sliced Lamb - 500 g,SAR 45.00
Fresh Najil Jizan - 500 g,SAR 26.25
Medium Fresh Hamour - 500 g,SAR 26.25
Pineapple - 1 count,SAR 5.45SAR 6.95
Pinar Labneh Mini Portion -  180G,SAR 7.25
President Shredded Mozzarella Cheese -  900G,SAR 19.95SAR 42.50
Pride Shredded Mozzarella -  1Kg,SAR 33.95
Puck Labneh Turkish Recipe -  400G,SAR 11.55
Fossen Smoked Salmon Scottish -  100G,SAR 34.95
Almarai Cream Cheese - 432G,SAR 12.00
Tamimi Large Arabic Brown Bread - 4 pieces,SAR 1.00
Onions Red Local - 250 g,SAR 0.90
Almarai Cheese Slices Burger - 200G,SAR 6.50
Almarai Fresh Low Fat Milk - 1L,SAR 4.50
Almarai Fresh Full Fat Milk - 500Ml,SAR 3.00
Almarai Feta Cheese Low Fat & Less Salt - 200G,SAR 5.85
Almarai Feta Cheese Full Cream - 200G,SAR 5.25
Stuhrk Black Lumpfish Caviar -  50G,SAR 18.40
Stuhrk Red Lumpfish Caviar -  50G,SAR 18.40
Ulker Turkish Labneh - 8 x 20 grams,SAR 7.30
Philadelphia Regular Cream Cheese Spread - 180G,SAR 10.95
Kraft Original Cheddar Cheese Spread Squeeze - 2X870G,SAR 38.95SAR 41.95
Lurpak Unsalted Butter - 100G,SAR 3.95SAR 4.95
Philadelphia Light Cream Cheese Spread - 180G,SAR 13.95
Kraft Cheddar Cheese - 7+1Free X50G,SAR 21.95SAR 23.50
Puck Cream Cheese Spread - 500G,SAR 15.70
The Three Cows Shredded Mozzarella Cheese - 200G,SAR 9.95
Puck Shredded Mozzarella Cheese Modified With Vegetable Oil - 250G,SAR 9.95
Ulker Turkish Labneh - 180G,SAR 6.55
Almarai Full Fat Cooking Cream - 250ML,SAR 7.00
Almarai Fresh Yoghurt Full Cream 2kg - 500G,SAR 3.15
Almarai Mozzarella Cheese 100 Grams Free - 200g,SAR 9.40
Almarai Premium Labneh Full Fat Turkish Style - 400G,SAR 11.55
Almarai Unsalted Natural Butter - 100G,SAR 5.25
Almarai Processed Cream Cheese - 2x900G,SAR 35.25SAR 42.00
Almarai Halloumi Full Fat Cheese - 225G,SAR 13.95
Kiri Spreadable Creamy Cheese - 24Pcs,SAR 14.95SAR 16.50
Almarai Whipping Cream - 500Ml,SAR 14.00
Almarai Fresh Labneh Full Fat -  200G,SAR 5.00
Almarai Cheddar Cheese Slices -  200G,SAR 7.35
Badr Low Fat Labneh - 250 g,SAR 5.75
Halwani Brothers Smoked Roast Turkey - 1.0 kg,SAR 98.95SAR 114.95
Hungarian Double Cream Cheese - 250 g,SAR 5.00
Sunbula Shredded Mozzarella Cheese -  500G,SAR 23.05
Frico Edam Cheese - 250 g,SAR 13.50
Lebanese Makdous - 250 g,SAR 8.50
Acorsa Black Spanish Olive - 250 g,SAR 5.75
Stuhrk Wild Salmon Caviar -  50G,SAR 47.20
Pride Classic Cheddar - 500G,SAR 19.45
Forsana Shredded Cheddar Cheese - 200G,SAR 11.25
Fresh Cat Fish - 500 g,SAR 2.48SAR 3.75
Fresh Sea Bass - 500 g,SAR 25.50
Fresh Hamour Bagal - 1.0 kg,SAR 26.95SAR 35.95
Americana Pepperoni - 1.0 kg,SAR 59.95SAR 79.95
Mushrooms - 250 grams,SAR 8.95
Medium Fresh Andak Fish - 500 g,SAR 13.50
Eggplant Big - 250 g,SAR 1.50
Green Onions - 1 count,SAR 1.95
Okra - 250 g,SAR 7.00
Altayeb Less Salt White Cheese - 250 g,SAR 9.18
Mandarine - 250 g,SAR 1.75
Pakistani Mandarin - 250 g,SAR 2.00
Bell Pepper Yellow - 500 g,SAR 3.45SAR 8.95
Pinar Labneh - 250 g,SAR 6.75
Avocado Kenya - 250 g,SAR 6.25
Bridel Brie Cheese 20% Fat - 250 g,SAR 44.75
Kasih Liquid Jameed -  1Kg,SAR 37.95
Green Moroccan Olive With Lemon - 250 g,SAR 5.50
Ulker Labneh - 250 g,SAR 7.00
Ulker Light Turkish Labneh - 275G,SAR 9.40
Halwani Brothers Mortadella Beef Plain - 1.0 kg,SAR 27.95SAR 38.95
Hajdu Kashkawane Cow Cheese - 250 g,SAR 12.60
Americana Smoked Turkey Breast - 250 g,SAR 25.00
Green Pepper - 250 g,SAR 2.25
Red Bell Pepper - 500 g,SAR 3.45SAR 5.95
Celery  Stick - 250 g,SAR 2.25
Tomato - 250 g,SAR 2.00
Orange Valencia - 250 g,SAR 1.50
Red Cabbage - 1.0 kg,SAR 7.95
Green Cabbage - 250 g,SAR 0.75
Lemon Large - 250 g,SAR 2.25
Romaine Lettuce - 1.0 kg,SAR 7.95
Beet Root - 250 g,SAR 1.00
Green Beans - 250 g,SAR 4.25
Orange Navel - 250 g,SAR 2.25
Sweet Potato - 250 g,SAR 2.25
Halwani Brothers Chicken Mortedella Plain - 250 g,SAR 12.00
Almarai Fresh Cream - 100G,SAR 3.25
Valbreso French Soft Sheep's Milk Cheese - 600G,SAR 41.95
Astra Halloumi Cheese - 250 g,SAR 11.00
Green Moroccan Olive With Chili - 250 g,SAR 5.50
Astra Sheep Milk Soft Labneh - 250 g,SAR 7.87
Coopoliva Black Olives - 250 g,SAR 5.50
Brazilian Chilled Beef Tenderloin - 500 g,SAR 37.50
Gran Moravia Parmesan Cheese - 250 g,SAR 27.50
Almarai Fresh Pure Cow's Milk 0.1% Fat - 2L,SAR 8.00
Puck Labneh Turkish Recipe - 650G,SAR 19.95
Valbreso Sheep's Milk Feta Cheese - 250 g,SAR 14.75
Red Grapes - 250 g,SAR 4.50
Apple Gala - 1.0 kg,SAR 5.95SAR 7.95
Guava - 250 g,SAR 5.50
Sweet Melon Fresh - 2.0 kg,SAR 5.90SAR 9.90
Nectarines - 250 g,SAR 5.50
Bananas - 250 g,SAR 1.50
Apple Fuji - 250 g,SAR 1.50
Plums Red - 500 g,SAR 4.45SAR 8.95
Cucumber Green - 250 g,SAR 1.25
Garlic - 250 g,SAR 3.25
Ginger Root - 250 g,SAR 3.00
Hot Chili Green - 250 g,SAR 2.25
Yellow Squash - 250 g,SAR 1.25
Potatoes - 250 g,SAR 0.75
Squash Butternut - 500 g,SAR 3.50
Fresh Mackerel (Bagha) - 500 g,SAR 6.98SAR 8.25
Squash Zuccini - 250 g,SAR 2.00
Fresh Crabs - 500 g,SAR 17.00
Medium Fresh Hamam - 500 g,SAR 15.00
Fresh Clams - 500 g,SAR 12.75
Fresh Kanaad Dammam - 500 g,SAR 42.75
Small Fresh Hamour - 500 g,SAR 25.75
Fresh Sardine - 500 g,SAR 5.25
Fresh Squid - 500 g,SAR 12.75
Fresh Tuna - 500 g,SAR 8.25
Jinnis Fish - 500 g,SAR 10.95
Fresh Hamour - 500 g,SAR 26.25
Hamour Fillet - 1.0 kg,SAR 74.95SAR 89.95
Sliced Kanaad - 1.0 kg,SAR 69.95SAR 89.95
Live Tilapia - 500 g,SAR 11.95
Sole Fillet - 500 g,SAR 40.00
Naisarah Fish - 500 g,SAR 9.05
Najil Fish - 500 g,SAR 26.25
Saudi Pan gulf Large Peeled Shrimp - 500 g,SAR 30.00
Norwegian Whole Salmon large approx. 6 kg each - 6.0 kg,SAR 377.70
Medium Red Snapper - 500 g,SAR 28.60
Medium Peeled Shrimp - 500 g,SAR 37.50
Sheiry Fillet - 500 g,SAR 47.50
Sarrar Fish - 1.5 kg,SAR 29.92SAR 38.25
Salmon Steak - 500 g,SAR 40.00
Medium Sheiry Fish - 500 g,SAR 22.00
Large Sheiry Fish - 500 g,SAR 22.00
Small Sheiry Fish - 500 g,SAR 8.25
Medium Shrimp - 500 g,SAR 23.00
Large Shrimp - 500 g,SAR 25.50
Badr White Low-Fat Cheese With Black Cumin - 250 g,SAR 7.50
Siniora Smoked Turkey Breast - 250 g,SAR 19.25
Elle & Vire Special Cooking Cream - 1L,SAR 29.95
White Grapes - 250 g,SAR 3.75
Broccoli - 500 g,SAR 11.45
Kalamata Olive - 250 g,SAR 7.48
Large Najil Jeddah - 500 g,SAR 63.00
Cooked Shrimp - 500 g,SAR 17.50
Safi Omani Fish - 500 g,SAR 12.75
Medium Najil Fish Jeddah - 500 g,SAR 66.95
Halwani bros Plain Halawa - 250 g,SAR 4.68
Medium Farmed Shrimp - 500 g,SAR 18.50
Lamb Kofta Kebab - 500 g,SAR 18.40
Fresh Veal Without Bones - 500 g,SAR 35.00
Sole Fish - 500 g,SAR 14.25
Eygptian Roumy Cheese - 500 g,SAR 22.50
Brown Mushrooms Big -  250G,SAR 14.95
Tamimi Markets  Pomelos - 500 g,SAR 4.45
Papaya Yellow - 1.0 kg,SAR 10.95
Danjou Pears - 250 g,SAR 3.25
Almarai Cheddar Cheese Low Fat -  454G,SAR 17.85
Kiwi - 250 g,SAR 3.25
Limes Big - 250 g,SAR 2.75
Kini Mango - 250 g,SAR 5.00
Tangerine Fresh - 250 g,SAR 2.50
Indian Green Hot Chili - 250 g,SAR 5.00
Avocado Imported - 250 g,SAR 10.00
American Asparagus - 250 g,SAR 18.35
Grapes White Imported - 250 g,SAR 6.25
Custard Apple Imported - 500 g,SAR 35.00
Almarai Cheese Slices 98.5% Fat Free - 200G,SAR 9.95
Naimi Fresh Quarter Lamb With Shoulder - 1.0 kg,SAR 72.50
French Emmental Cheese - 250 g,SAR 16.25
Frico Red Hot Edam Cheese Slices -  150G,SAR 11.95
Nadec Shredded Mozzarella Cheese -  500G,SAR 25.95
The Three Cows Feta Cheese - 250 g,SAR 3.50
Naimi Quarter Fresh Lamb Leg - 500 g,SAR 36.75
Naimi Fresh sliced Lamb - 500 g,SAR 45.00
Fresh Najil Jizan - 500 g,SAR 26.25
Medium Fresh Hamour - 500 g,SAR 26.25
Pineapple - 1 count,SAR 5.45SAR 6.95
Jumbo Shrimp - 500 g,SAR 63.50
Fresh Veal Escalope - 500 g,SAR 40.00
Almarai Fresh Lite Cream - 100G,SAR 3.25
Frozen Milkfish - 500 g,SAR 7.45SAR 11.45
Frozen Peeled Pink Shrimp - 500 g,SAR 47.25
Fresh Ground Veal - 500 g,SAR 35.00
Cripps Pink Apples - 250 g,SAR 3.25
President Burger Sliced Cheddar Cheese - 400G,SAR 15.70
Farmland Halloumi Cheese - 250G,SAR 15.75
Almarai Halloumi Low Fat Cheese - 225G,SAR 15.75
Pinar Labneh Light -  400G,SAR 15.95
Black Mammoth Olive - 250 g,SAR 8.25
Almarai Cheese Slices Sandwich - 200G,SAR 6.65
Norwegian whole Salmon medium approx. 3 kg each - 3.0 kg,SAR 164.85
Previously Frozen Shrimp - 500 g,SAR 47.45
Shrimps Head On - 500 g,SAR 23.00
Pears Coascia - 250 g,SAR 4.75
Red Apple - 250 g,SAR 1.75
Fresh Nile Perch Fillet - 500 g,SAR 27.25
Salmon Fillet - 500 g,SAR 47.50